pmid,title,abstract,authors,journal,journal_abbr,year,doi,keywords,mesh_terms
37027489,Lipidomic Profiling of PFOA-Exposed Mouse Liver by Multi-Modal Mass Spectrometry Analysis.,"Perfluorooctanoic acid (PFOA) is a synthetic perfluorinated chemical classified as a persistent organic pollutant. PFOA has been linked to many toxic effects, including liver injury. Many studies report that PFOA exposure alters serum and hepatic lipid metabolism. However, lipidomic pathways altered by PFOA exposure are largely unknown and only a few lipid classes, mostly triacylglycerol (TG), are usually considered in lipid analysis. Here, we performed a global lipidomic analysis on the liver of PFOA-exposed (high-dose and short-duration) and control mice by combining three mass spectrometry (MS) techniques: liquid chromatography with tandem mass spectrometry (LC-MS/MS), matrix-assisted laser desorption ionization mass spectrometry imaging (MALDI-MSI), and time-of-flight secondary ion mass spectrometry (TOF-SIMS). Among all hepatic lipids identified by LC-MS/MS analysis, more than 350 were statistically impacted (increased or decreased levels) after PFOA exposure, as confirmed by multi-variate data analysis. The levels of many lipid species from different lipid classes, most notably phosphatidylethanolamine (PE), phosphatidylcholine (PC), and TG, were significantly altered. Subsequent lipidomic analysis highlights the pathways significantly impacted by PFOA exposure, with the glycerophospholipid metabolism being the most impacted, and the changes in the lipidome network, which connects all the lipid species together. MALDI-MSI displays the heterogeneous distribution of the affected lipids and PFOA, revealing different areas of lipid expression linked to PFOA localization. TOF-SIMS localizes PFOA at the cellular level, supporting MALDI-MSI results. This multi-modal MS analysis unveils the lipidomic impact of PFOA in the mouse liver after high-dose and short-term exposure and opens new opportunities in toxicology.",Stoffels Charlotte B A; Angerer Tina B; Robert Hervé; Poupin Nathalie; Lakhal Laila,Analytical chemistry,Anal Chem,2023,10.1021/acs.analchem.2c05470,,"Mice; Animals; Lipidomics; Chromatography, Liquid; Tandem Mass Spectrometry; Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization; Caprylates; Triglycerides; Liver; Fluorocarbons"
38652827,In vitro evaluation of the carcinogenic potential of perfluorinated chemicals.,"Perfluorooctane sulfonate (PFOS) and perfluorooctanoic acid (PFOA) are the major components of long-chain per- and polyfluorinated alkyl substances (PFAS), known for their chemical stability and environmental persistence. Even if PFOA and PFOS have been phased out or are limited in use, they still represent a concern for human and environmental health. Several studies have been per­formed to highlight the toxicological behavior of these chemicals and their mode of action (MoA). Data have suggested a causal association between PFOA or PFOS exposure and carcinogenicity in humans, but the outcomes of epidemiological studies showed some inconsistency. Moreover, the hypothesized MoA based on animal studies is considered not relevant for human cancer. To improve the knowledge on PFAS toxicology and contribute to the weight of evidence for the regu­latory classification of PFAS, we used the BALB/c 3T3 cell transformation assay (CTA), an in vitro model under consideration to be included in an integrated approach to testing and assessment for non-genotoxic carcinogens (NGTxCs). PFOS and PFOA were tested at several concentrations using a validated experimental protocol. Our results demonstrate that PFOA does not induce cell transformation, whereas PFOS exposure induced a concentration-related increase of type III foci. Malignant foci formation was triggered at PFOS concentrations equal to or higher than 50 ppm and was not directly associated with cytotoxicity or proliferation induction. The divergent CTA outcomes suggest that different molecular events could be responsible for the toxicological profiles of PFOS and PFOA, which were not fully captured in our study. PFAS chemicals are known for their durability and resistance to heat, water, and oil. They are per­sistent in the environment and may pose health risks despite decreased use. This study explored PFOS and PFOA, two common PFAS chemicals, to understand their potential harm and cancer risk. To better understand how they might be harmful, we conducted a cell-based test that can resemble the carcinogenesis process in experimental animals. The test revealed PFOS, but not PFOA, can cause cancer-like changes, at levels of 50 parts per million or higher. This result suggests different PFAS chemicals affect cells differently, but we need more research to understand exactly how they work and how they might cause cancer. Understanding this could help regulate and reduce PFAS harmful effects. This research aligns with 3R principles by using cell-based tests as an alternative to animal testing, thereby promoting ethical research practices.",Vaccari Monica; Serra Stefania; Ranzi Andrea; Aldrovandi Federico; Maffei Giangabriele,ALTEX,ALTEX,2024,10.14573/altex.2310281,PFAS; cell transformation assay; non-genotoxic carcinogenicity; perfluorooctane sulfonic acid; perfluorooctanoic acid,Fluorocarbons; Animals; Caprylates; Alkanesulfonic Acids; Mice; Carcinogens; Carcinogenicity Tests; BALB 3T3 Cells; Humans; Animal Testing Alternatives
40079289,"[«PFAS», pollutants in the spotlight].","In November 2023, Wallonia was rocked by the discovery of problematic PFAS contamination of drinking water in the Chièvres region. PFAS («per- or polyfluoroalkyl substances») are compounds produced and used in large quantities by human activities for numerous applications, such as the formulation of fire-fighting foams, which appears to be at the origin of the pollution in Chièvres. The two main PFASs (perfluorooctanoic acid (PFOA) and perfluorooctane sulfonic acid (PFOS)) have been shown to have toxic effects on immunity, cholesterol metabolism, liver function and newborn birth weight. In addition, PFOA is classified as a definite human carcinogen. The Toxicology Department of Liège University Hospital has carried out numerous studies on these compounds and their impact on human health. In addition, we offer to measure them in patients' serum or breast milk, and provide patients and their doctors with an interpretation and follow-up proposal based on the results obtained. Environmental pollution by PFAS and its consequences demonstrate once again how the degradation of our environment and our health are closely linked. En novembre 2023, la Wallonie a été secouée par la mise en évidence d’une contamination problématique de l’eau de distribution par les PFAS («per- ou polyfluoroalkyl substances») dans la région de Chièvres. Ces PFAS sont des composés produits et utilisés en grandes quantités par l’Homme pour de nombreuses applications, comme la formulation de mousses anti-incendie qui pourraient être à l’origine de la pollution à Chièvres. Les deux principaux PFAS (l’acide perfluorooctanoïque (PFOA) et l’acide perfluorooctane sulfonique (PFOS)) ont démontré une toxicité sur l’immunité, le métabolisme du cholestérol, le foie ou encore le poids du nouveau-né à la naissance. De plus, le PFOA est classé comme cancérigène certain chez l’Homme. Le Service de Toxicologie du CHU de Liège participe à de nombreuses études sur ces composés et leurs impacts sur la santé humaine. Nous proposons leur dosage chez les patients, que ce soit dans le sérum ou dans le lait maternel, et nous fournissons au patient et à son médecin une interprétation et une proposition de suivi adaptées en fonction des résultats obtenus. La pollution de l’environnement par les PFAS et ses conséquences démontrent une fois de plus comment la dégradation de notre environnement et notre santé sont étroitement associées.",Dufour Patrice; Pirard Catherine; Charlier Corinne,Revue medicale de Liege,Rev Med Liege,2025,,Environment; Perfluoroalkyl substances; Pollution; toxicity,Humans; Fluorocarbons; Alkanesulfonic Acids; Environmental Pollutants; Caprylates; Environmental Exposure
40500729,Suppression effect of folate on poly- and perfluoroalkyl substance-induced alterations in lipids and the atherogenic index of plasma in adolescents.,"The specific mechanisms by which poly - and polyfluoroalkyl substances (PFAS) influence the particular lipid levels of adolescents and the progression of early subclinical atherosclerosis remain unclear. A certain degree of correlation exists between folate and the exposure of adolescents to PFAS, the maintenance of lipid homeostasis, as well as cardiovascular health status. This study investigated the role and mechanisms of folate in the process through which PFAS can influence the blood lipid profiles of adolescents. We used data from the National Health and Nutrition Examination Survey 2005-2018. Weighted generalized linear regression analysis, Bayesian kernel machine regression, weighted quantile sum regression, mediation analysis, and network toxicology were employed to investigate the association between mixed exposures to perfluorooctanoic acid (PFOA), perfluorooctane sulfonate (PFOS), perfluorohexane sulfonate, and perfluorononanoic acid (PFNA) and lipids, as well as the atherogenic index of plasma (AIP), and to determine the impact of red blood cell folate or serum folate in the body. A positive association was detected between low density lipoprotein cholesterol (LDL-C) and PFOS; between total cholesterol (TC) and both PFOS and PFOA; between triglycerides (TG) and PFNA, PFOS, and PFOA; and between AIP and PFNA, PFOS, and PFOA. Analysis identified a positive correlation between mixed PFAS and LDL-C, TC, TG, and AIP. Red blood cell folate suppressed the associations of PFOA, PFOS, PFNA, and total PFAS with TG, as well as PFOA, PFOS, and total PFAS with AIP. The suppression effect of red blood cell folate was more pronounced in female adolescents. PFAS was associated with certain targets, including albumin, peroxisome proliferator-activated receptor γ, and interleukin-10, and may influence lipid metabolism and atherosclerosis. PFAS and folate share caspase-1 and carbonic anhydrase 2 as targets for mechanisms associated with atherosclerosis. PFAS exposure may be associated with dyslipidemia and impaired cardiovascular health in adolescents, while folate could potentially attenuate the direct association between PFAS exposure and these health outcomes. In the future, maintaining normal levels of folate in the body could be a key strategy in preventing disruptions to lipid metabolism and potential threats to cardiovascular health in adolescents caused by PFAS.",Pan Yuxin; Du Ziye; Ma Yuyang; Chen Cheng; He Shaoyu,Lipids in health and disease,Lipids Health Dis,2025,10.1186/s12944-025-02638-y,Adolescents; Atherogenic index of plasma; Folate; Lipids; National Health and Nutrition Examination Survey; Poly- and perfluoroalkyl substances,"Humans; Fluorocarbons; Adolescent; Female; Male; Folic Acid; Atherosclerosis; Alkanesulfonic Acids; Lipids; Caprylates; Cholesterol, LDL; Nutrition Surveys; Triglycerides; Erythrocytes; Fatty Acids; Sulfonic Acids"
40891830,"Letter to the Editor: ""Unraveling the molecular mechanisms of PFOA in clear cell renal cell carcinoma through network toxicology and molecular docking strategies.",,Zhao Xiniming; Li Xiunan; Wu Guangzhen,"International journal of surgery (London, England)",Int J Surg,2025,10.1097/JS9.0000000000002701,,
36873954,Blood transcriptome responses to PFOA and GenX treatment in the marsupial biomedical model ,,Cao Wenqi; Horzmann Katharine; Schemera Bettina; Petrofski Myra; Kendall Trisha,Frontiers in genetics,Front Genet,2023,10.3389/fgene.2023.1073461,developmental processes; inflammatory response; laboratory opossum; long-chain fatty acid transport; per-and polyfluoroalkyl substances (PFAS); toxicology,
35026182,Framework for risk assessment of PFAS utilizing experimental studies and in-silico models.,"Perfluoroalkyl substances (PFAS), especially PFOS and PFOA, are two widely used synthetic chemicals that can impact human health based on evidence from animal and epidemiologic studies. In this paper, we have reviewed and summarized the influence of PFAS exposure on health, pointing the quality of evidence, and applied translational techniques to integrate evidence for PFAS policy making. This is the first review where highly referred articles on PFAS used for policymaking by several regulatory agencies were collected and evaluated based on the review guidelines developed by the US National Toxicology Program's Office of Health Assessment and Translation (OHAT) review guidelines. Several limitations were observed, including co-exposure to multiple chemicals and limited measurement of primary and secondary outcomes related to specific toxicity. However, data from all the studies provided a moderate to strong level of confidence for link between PFAS exposure and different adverse outcomes. Secondly, for translating the risk to humans, an in-silico model and scaling approach was utilized. Physiologically based pharmacokinetic model (PBPK) was used to calculate the human equivalent dose (HED) from two widely accepted studies and compared with tolerable daily intakes (TDIs) established by various regulatory agencies. Inter-species dose extrapolation was done to compare with human the relevance of dosing scenarios used in animals. Overall, a framework for translation of risk was proposed based on the conclusions of this review with the goal of improving policymaking. The current paper can improve the methodological protocols for PFAS experimental studies and encourage the utilization of in-silico models for translating risk.",Deepika Deepika; Rovira Joaquim; Sabuz Óscar; Balaguer Jordina; Schuhmacher Marta,Environmental research,Environ Res,2022,10.1016/j.envres.2022.112722,Health effects; Human biomonitoring; PFAS; PFOA; PFOS; Perfluorinated compounds; Regulatory limits; Systematic analysis; Toxicokinetic model; Translational in silico models,Alkanesulfonic Acids; Animals; Computer Simulation; Environmental Pollutants; Fluorocarbons; Risk Assessment
41083578,"Investigation of the toxicological effects of PFAS on cholangiocarcinoma based on network toxicology, bioinformatics, and molecular docking.","Previous studies have identified an association between per- and polyfluoroalkyl substances (PFAS) and the occurrence of intrahepatic cholangiocarcinoma (ICC), but the specific mechanisms remain unclear. This study aims to analyze the toxicological mechanisms of PFAS, particularly perfluoroctanoic acid (PFOA) and perfluorooctane sulfonate (), on ICC through network toxicology and bioinformatics. Relevant targets for PFOS and PFOA were retrieved from the CTD, ChEMBL, and Super-PRED databases. Targets related to ICC were gathered from the GeneCards, NCBI, and OMIM databases. Common targets between ICC and PFOS, PFOA were identified and subjected to median filtering in CytoHubba to select core targets, which were then analyzed for protein-protein interaction using the STRING database. Gene Ontology (GO) and Kyoto Encyclopedia of Genes and Genomes (KEGG) enrichment analyses were performed on core targets to elucidate the biological processes affected by PFAS in ICC. The intersection of the targets for ICC and those from PFOS/PFOA was compared with the differentially expressed genes in ICC from the TCGA database. LASSO regression was applied to filter prediction targets, and bioinformatics analysis was conducted to assess the differential expression of these targets in ICC, constructing a risk assessment model. Molecular docking was utilized to evaluate the binding affinity of PFOA and PFOS to the predicted targets. A total of 1,838 and 2,616 targets were predicted for PFOA and PFOS, respectively; whereas, for ICC, 2,044 targets were identified, with 345 and 459 common targets for PFOA and PFOS, respectively. GO and KEGG enrichment analyses revealed that these processes were primarily associated with biological functions such as cell proliferation and apoptosis, potentially mediated by the PI3K-Akt and HIF-1 signaling pathways. The integrated analysis of differentially expressed genes from the TCGA database and the intersection of targets from PFOA/PFOS with those from ICC yielded five core genes (TP53, ESR1, CDH1, BCL2, and MMP9) that formed an ICC prognostic score with robust predictive capability for survival, classifying ICC patients into high-risk and low-risk groups (p < 0.05). Molecular docking simulations demonstrated strong binding affinities between PFAS and these core targets, supporting their potential roles in PFAS-induced ICC development. This study explores the potential key mechanisms underlying PFAS-induced ICC and highlights core biomarkers that could serve as therapeutic targets. These results are expected to offer novel perspectives on strategies for the prevention and treatment of ICC.",Sun Huazheng; Li Jian; Du Changpu; Zhou Kangmin; Wu Zhenzhen,Scientific reports,Sci Rep,2025,10.1038/s41598-025-19590-7,Bioinformatics; Cholangiocarcinoma; Network toxicology; PFOA; PFOS,"Fluorocarbons; Cholangiocarcinoma; Molecular Docking Simulation; Humans; Computational Biology; Caprylates; Bile Duct Neoplasms; Alkanesulfonic Acids; Protein Interaction Maps; Gene Expression Regulation, Neoplastic; Gene Ontology"
30248109,Rubella immunity and serum perfluoroalkyl substances: Sex and analytic strategy.,"Perfluoroalkyl substances (PFASs) have been associated with decreased immunity to childhood tetanus and diphtheria immunizations. If these vaccinations are vulnerable to influence from PFASs, questions arise about associations with other common inoculations. To examine whether serum PFASs were associated with reduced immunity to rubella immunization, and whether interactions with sex or ethnicity warranted analytic stratification. Usually, toxicology analyses are calculated controlling for race and sex. However, sex differences in immune function have been reported and a reduction of immunity to rubella in women could pose risks such miscarriage. We analyzed a nationally representative sample of individuals ≥ 12 years from the National Health and Nutrition Examination Survey (NHANES) for years 1999-2000 and 2003-2004 for whom PFAS measures were available. Our analytic strategy was to start with separate analyses for youth and adults controlling for several covariates including ethnicity and sex, as well as the interaction of these terms with PFASs. If there was a main effect of PFASs and an interaction term, we would stratify analyses of effect size. The outcome variable was Rubella IgG titers by quartile of perfluoroalkyl substances. After exclusion for missing data, the analyzed sample contained 581 adult women, 621 adult men, and 1012 youth. There was no significant effect of PFASs on immunity in youths but a significant effect of both PFOA and PFOS in adults, as well as a significant interaction of PFOA x sex and a borderline significant interaction of PFOS x sex. When effect size analyses were stratified by sex, a significant association between rubella titres and PFOA was found in men but not women and PFOS was not significant in either sex. These results support our earlier studies showing sex specific responses to PFASs and indicate the importance of thinking carefully about analytic strategies in population based toxicology research.",Pilkerton Courtney S; Hobbs Gerald R; Lilly Christa; Knox Sarah S,PloS one,PLoS One,2018,10.1371/journal.pone.0203330,,"Adolescent; Adult; Alkanesulfonic Acids; Antibodies, Viral; Caprylates; Child; Environmental Pollutants; Female; Fluorocarbons; Humans; Immunoglobulin G; Male; Middle Aged; Nutrition Surveys; Risk Factors; Rubella; Rubella Vaccine; Sex Characteristics; United States; Young Adult"
33609849,Per- and polyfluoroalkyl substances (PFAS) in livestock and game species: A review.,"Per- and polyfluoroalkyl substances (PFAS) are synthetic, organic chemicals that resist environmental breakdown. The properties that made PFAS into an industrial success also led to their persistence and bioaccumulation. As PFAS were widely used for many decades their presence is evident globally, and their persistence and potential for toxicity create concern for human, animal and environmental health. Following the precautionary principle, a reduction in human exposure is generally recommended. The most significant source of human exposure to PFAS is dietary intake (food and water) with additional exposure via dust. As PFAS concentrations have been more frequently studied in aquatic food sources, there is less understanding of exposure via terrestrial animals. To further define human exposure via animal products, it is necessary to determine PFAS concentrations and persistence in terrestrial livestock and game species. Studies assessing ambient concentrations of PFAS have noted that, aside from point sources of contamination, there is generally low input of PFAS into terrestrial agricultural food chains. However, livestock and game species may be exposed to PFAS via contaminated water, soil, substrate, air or food, and the contribution of these exposures to PFAS concentrations in food products is less well studied. This review focuses on perfluoroalkyl substances (PFAAs) and compiles information from terrestrial livestock and game species as a source of dietary exposure in humans, and discusses toxicokinetics and health effects in animals, while identifying future focus areas. Publications describing the transfer of PFAAs to farmed and hunted animals are scarce, and demonstrate large variability in distribution and elimination. We outline several relatively small, short-term studies in cattle, sheep, pigs and poultry. While negative effects have not been noted, the poultry investigations were the only studies to explicitly assess health effects. Comparative information is presented on PFAA concentrations in livestock products and edible tissues of game animals.",Death Clare; Bell Cameron; Champness David; Milne Charles; Reichman Suzie,The Science of the total environment,Sci Total Environ,2021,10.1016/j.scitotenv.2020.144795,Food safety; Game species; Livestock health; Perfluorooctane sulfonate (PFOS); Perfluorooctanoic acid (PFOA); Toxicology,Alkanesulfonic Acids; Animals; Cattle; Dietary Exposure; Fluorocarbons; Livestock; Sheep; Swine; Water Pollution
37069739,"US and international per- and polyfluoroalkyl substances surface water quality criteria: A review of the status, challenges, and implications for use in chemical management and risk assessment.","Regulation of per- and polyfluorinated substances (PFAS) in surface water is a work-in-progress with relatively few criteria promulgated in the United States and internationally. Surface water quality criteria (SWQC) or screening values derived for perfluorooctane sulfonic acid (PFOS) and perfluorooctanoic acid (PFOA) by Australia, Canada, the European Union (EU), and four US states (Florida, Michigan, Minnesota, and Wisconsin), and the San Francisco Bay Regional Water Quality Control Board (SFB RWQCB; California) were compared. Across these eight jurisdictions, promulgated numeric criteria for the same compound and receptor span over five orders of magnitude as a result of different approaches and data interpretations. Human health criteria for PFOS range from 0.0047 to 600 ng/L depending on route of exposure (e.g., fish consumption or drinking water) and are lower than most ecological criteria for protection of aquatic and wildlife receptors. Data gaps and uncertainty in chronic toxicity and bioaccumulation of PFOS and PFOA, as well as the use of conservative assumptions regarding intake and exposure, have resulted in some criteria falling at or below ambient background concentrations and current analytical detection limits (around 1 ng/L for commercial laboratories). Some jurisdictions (e.g., Australia, Canada) have deemed uncertainty in quantifying water-fish bioaccumulation too great and set fish tissue action levels in lieu of water criteria. Current dynamics associated with the emerging and evolving science of PFAS toxicity, exposure, and environmental fate (i.e., data gaps and uncertainty), as well as the continuous release of scientific updates, pose a challenge to setting regulatory limits. Integr Environ Assess Manag 2024;20:36-58. © 2023 AECOM Technical Services, Inc and The Authors. Integrated Environmental Assessment and Management published by Wiley Periodicals LLC on behalf of Society of Environmental Toxicology & Chemistry (SETAC).",Ruffle Betsy; Archer Christine; Vosnakis Kelly; Butler Josh D; Davis Craig W,Integrated environmental assessment and management,Integr Environ Assess Manag,2024,10.1002/ieam.4776,Criteria development; Per- and polyfluoroalkyl substances; Risk management; Surface water quality criteria,"Animals; United States; Humans; Water Quality; Water Pollutants, Chemical; Fluorocarbons; Alkanesulfonic Acids; Risk Assessment; Fishes; Caprylates"
39251122,Toxicity prediction and risk assessment of per- and polyfluoroalkyl substances for threatened and endangered fishes.,"Per- and polyfluoroalkyl substances (PFASs) are severely polluted in aquatic environments and can harm aquatic organisms. Due to the limitation of conducting toxicity experiments directly on threatened and endangered (T&E) species, their toxicity data is scarce, hindering accurate risk assessments. The development of computational toxicology makes it possible to assess the risk of pollutants to T&E fishes. This study innovatively combined machine learning models, including random forest (RF), artificial neural network (ANN), and XGBoost, and the QSAR-ICE model to predict chronic developmental toxicity data of PFASs to T&E fishes. Among these, the XGBoost model exhibited superior performance, with R",Ji Yuanpu; Wang Xiaolei; Wang Rui; Wang Jiayu; Zhao Xiaoli,"Environmental pollution (Barking, Essex : 1987)",Environ Pollut,2024,10.1016/j.envpol.2024.124920,Chronic toxicity; Ecological risk; Machine learning; QSAR-ICE; Threatened and endangered fish,"Animals; Water Pollutants, Chemical; Risk Assessment; Endangered Species; Fishes; Fluorocarbons; Rivers; Machine Learning; Neural Networks, Computer; Quantitative Structure-Activity Relationship"
39073492,Elucidating the degradation mechanisms of perfluorooctanoic acid and perfluorooctane sulfonate in various environmental matrices: a review of green degradation pathways.,"Given environmental persistence, potential for bioaccumulation, and toxicity of Perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS), the scientific community has increasingly focused on researching their toxicology and degradation methods. This paper presents a survey of recent research advances in the toxicological effects and degradation methods of PFOA and PFOS. Their adverse effects on the liver, nervous system, male reproductive system, genetics, and development are detailed. Additionally, the degradation techniques of PFOA and PFOS, including photochemical, photocatalytic, and electrochemical methods, are analyzed and compared, highlighted the potential of these technologies for environmental remediation. The biotransformation pathways and mechanisms of PFOA and PFOS involving microorganisms, plants, and enzymes are also presented. As the primary green degradation pathway for PFOA and PFOS, Biodegradation uses specific microorganisms, plants or enzymes to remove PFOA and PFOS from the environment through redox reactions, enzyme catalysis and other pathways. Currently, there has been a paucity of research conducted on the biodegradation of PFOA and PFOS. However, this degradation technology is promising owing to its specificity, cost-effectiveness, and ease of implementation. Furthermore, novel materials/methods for PFOA and PFOS degradation are presented in this paper. These novel materials/methods effectively improve the degradation efficiency of PFOA and PFOS and provide new ideas and tools for the degradation of PFOA and PFOS. This information can assist researchers in identifying flaws and gaps in the field, which can facilitate the formulation of innovative research ideas.",Chen Feiyu; Zhou Yi; Wang Liping; Wang Pengfei; Wang Tianyue,Environmental geochemistry and health,Environ Geochem Health,2024,10.1007/s10653-024-02134-9,Biodegradation; Degradation techniques; Perfluorooctane sulfonate (PFOS); Perfluorooctanoic acid (PFOA); Toxicology,"Fluorocarbons; Caprylates; Alkanesulfonic Acids; Biodegradation, Environmental; Environmental Pollutants; Animals; Green Chemistry Technology"
34798108,Elucidating the molecular mechanisms of perfluorooctanoic acid-serum protein interactions by structural mass spectrometry.,"Perfluorooctanoic acid (PFOA) is a persistent environmental pollutant and will continually accumulate in blood due to its chemical inertness and strong interaction with serum proteins, especially serum albumin (SA), inducing highly adverse health risks. However, the molecular mechanisms of dynamic interactions between PFOA with serum proteins remain unclear, limiting the development of potential therapeutic strategies. Herein, we developed an integrated structural strategy to systematically profile the molecular details of dynamic interactions among PFOA, SA, and β-cyclodextrin (β-CD) by combing native mass spectrometry (nMS), lysine reactivity profiling (LRP), and molecular docking (MD) simulation. The SA site 1, site 2 pockets, and cleft nearby are observed as the primary interaction regions of PFOA. Further, β-CD can disrupt the PFOA combinations with bovine SA regions around sites Lys20, Lys280, Lys350, and Lys431-Lys439, with an overall reversing efficiency of about 26% at an identical concentration to PFOA. The interactome of PFOA with complex human serum proteins is globally profiled with molecular interaction details, including human serum albumin, apolipoprotein A-I, alpha-2-macroglobulin, and complement C3. Our results reveal molecular insights into the detail of the interaction between PFOA and serum proteins, beneficial to understanding PFOA toxicology.",Zhang Wenxiang; Liu Zheyi; Zhou Ye; Lai Can; Sun Binwen,Chemosphere,Chemosphere,2022,10.1016/j.chemosphere.2021.132945,Lysine reactivity profiling (LRP); Mass spectrometry (MS); Perfluorooctanoic acid (PFOA); Serum albumin (SA); β-cyclodextrin (β-CD),Animals; Caprylates; Cattle; Fluorocarbons; Humans; Mass Spectrometry; Molecular Docking Simulation
34762945,Global occurrence and probabilistic environmental health hazard assessment of per- and polyfluoroalkyl substances (PFASs) in groundwater and surface waters.,"Per- and polyfluoroalkyl substances (PFASs) have been used in consumer and military products since the 1950s but are increasingly scrutinized worldwide because of inherent chemical properties, environmental contamination, and risks to public health and the environment. The United States Environmental Protection Agency (USEPA) identified 24 PFASs of interest for further study and possible regulation. We examined 371 peer-reviewed studies published since 2001 to understand the occurrence and distribution of 24 priority PFASs in global surface waters and groundwater. We identified 77,541 and 16,246 data points for surface waters and groundwater, respectively, with total PFAS concentrations ranging from low pg/L to low mg/L levels. Most data were from Asia, Europe, and North America with some reports from Oceania. PFAS information from other geographic regions is lacking. PFASs levels are consistently higher in rivers and streams followed by lakes and reservoirs and then coastal and marine systems. When sufficient data were available, probabilistic environmental hazard assessments (PEHAs) were performed from environmental exposure distributions (EEDs) to identify potential exceedances of available guideline values for each compound by matrix, region, and aquatic system. Specifically, exceedances of USEPA drinking water lifetime health advisory levels were up to 74% for PFOS in groundwater from Oceania and 69% for PFOA in North American groundwater. Our findings support selection of environmentally relevant experimental treatment levels for future toxicology, ecotoxicology and bioaccumulation studies, and potable source water exposure investigations, while highlighting PFASs and major geographic locations requiring additional study and inclusion in global monitoring and surveillance campaigns.",Sims Jaylen L; Stroski Kevin M; Kim Sujin; Killeen Grace; Ehalt Ricardo,The Science of the total environment,Sci Total Environ,2022,10.1016/j.scitotenv.2021.151535,Drinking water quality; Environmental public health; Hazard and risk assessment; Per- and polyfluoroalkyl substances (PFASs),"Alkanesulfonic Acids; Drinking Water; Environmental Health; Environmental Monitoring; Fluorocarbons; Groundwater; Water Pollutants, Chemical"
34296455,Argumentation Analysis of Risk Assessments: The Case of Perfluorooctanoic Acid.,"Risk assessment of chemicals can be based on toxicology and/or epidemiology. The choice of toxicological or epidemiological data can result in different health-based guidance values (HBGVs). Communicating the underlying argumentation is important to explain these differences to the public and policymakers. In this article, we explore the argumentation used to justify the use of toxicological or epidemiological data in the derivation of HBGVs in four different risk assessments for the chemical Perfluorooctanoic acid (PFOA). The pragma-dialectical argumentation theory (PDAT) is hereby applied. The argumentations to select relevant health endpoints or certain studies to infer causality appeared mainly based on ""symptomatic relations,"" that is, study results are used as characteristic of what was claimed to be a causal relation without delving into the actual causal argumentation that preceded it. Starting points that are at the basis of the chain of arguments remained implicit. Argumentation to use epidemiological and/or toxicological data was only briefly mentioned and the underlying argumentative foundation that led to the conclusion was seldom found or not addressed at all. The decision to include/exclude information was made based on the availability of data, or the motives for the choice remained largely unclear. We conclude that more depth in argumentation and a subordinative chain of arguments is needed to better disclose the underlying reasoning leading to a certain health-based guidance value (HBGV). More explicit identification and discussion of starting points could be a valuable addition to general risk assessment frameworks for maximum use of toxicological and epidemiological data and shared conclusions of the assessment.",Jongeneel W P; van Klaveren H; Bogers R P; Dévilee J; Rijs K R,Risk analysis : an official publication of the Society for Risk Analysis,Risk Anal,2022,10.1111/risa.13793,Argumentation; epidemiology; perfluorooctanoic acid; risk assessment; toxicology,Caprylates; Dissent and Disputes; Fluorocarbons
35817100,A review of omics-based PFAS exposure studies reveals common biochemical response pathways.,Per and Polyfluoroalkyl Substances (PFAS) are a diverse group of man-made chemicals with a range of industrial applications and which are widespread in the environment. They are structurally diverse but comprise a common chemical feature of at least one (though usually more) perfluorocarbon moiety (-C,Beale David J; Sinclair Georgia M; Shah Rohan; Paten Amy M; Kumar Anupama,The Science of the total environment,Sci Total Environ,2022,10.1016/j.scitotenv.2022.157255,Ecotoxicology; Environmental management; Lipidomics; Metabolomics; PFOA; PFOS; Proteomics; Risk assessment,Alkanesulfonic Acids; Biomarkers; Ecotoxicology; Environmental Pollutants; Fluorides; Fluorocarbons; Humans; Risk Assessment; Sulfonic Acids
34400261,The Dilemma of perfluorooctanoate (PFOA) human half-life.,"Disparity in the results from human observational and clinical studies is not uncommon, but risk assessment efforts often judge one set of data more relevant with the loss of valuable information. The assessment for perfluorooctanoate (PFOA) is a good example of this problem. The estimation of its safe dose is disparate among government groups due in part to differences in understanding of its half-life in humans. These differences are due in part to incomplete information on sources of exposure in the human observational half-life studies, which have been routinely acknowledged, but until recently not well understood. Exposure information is thus critical in understanding, and possibly resolving, this disparity in PFOA safe dose, and potentially for disparities with similar chemistries when both human observational and clinical findings are available. We explore several hypotheses to explain this disparity in PFOA half-life from human observational studies in light of findings of a clinical study in humans and relevant exposure information from a recent international meeting of the Society of Toxicology and Environmental Chemistry (SETAC). Based on information from both human observational studies and clinical data, we proposed a range for the half-life for PFOA of 0.5-1.5 years, which would likely raise many existing regulatory safe levels if all other parameters stayed the same.",Dourson Michael; Gadagbui Bernard,Regulatory toxicology and pharmacology : RTP,Regul Toxicol Pharmacol,2021,10.1016/j.yrtph.2021.105025,Half-life; Human clinical study; Human observational studies; PFOA; Safe dose,"Caprylates; Dose-Response Relationship, Drug; Fluorocarbons; Half-Life; Humans; Observational Studies as Topic; Risk Assessment"
