pmid,title,abstract,authors,journal,year,doi
41223748,"Comprehensive strategies for the remediation of per- and polyfluoroalkyl substances (PFAS): Mechanisms, technologies, and future perspectives.","Per- and polyfluoroalkyl substances (PFAS) are a large class of synthetic compounds extensively used in industrial and consumer products owing to their exceptional thermal stability, hydrophobicity, and resistance to chemical degradation. However, these same physicochemical properties that make PFAS valuable in manufacturing have resulted in their persistent accumulation across environmental matrices, including soil, sediments, water bodies, and biota. Elevated PFAS concentrations are commonly detected at aqueous film-forming foam application sites, fluoropolymer manufacturing facilities, landfills, and biosolid-amended agricultural lands. The removal of PFAS through conventional treatment methods is further constrained by the generation of toxic byproducts, degradation of treatment materials, and high operational costs. The pervasive presence of PFAS adversely affects human health, disrupts soil microbial diversity, impairs plant growth, and damages benthic ecosystems, while posing risks of bioaccumulation and trophic transfer. Detection and remediation of PFAS remain particularly challenging due to their chemical stability, complex mixtures, and typically low environmental concentrations. Moreover, microbial degradation of PFAS remains limited, although certain enzymes (like oxidoreductases, hydrolases) have shown potential to transform several PFAS and their precursors. Regulatory control is further complicated by the vast diversity of PFAS compounds, the scarcity of comprehensive toxicity data, and the lack of standardized guidelines for managing their environmental release and human exposure. Therefore, this review consolidates current knowledge on the environmental distribution, ecological impacts, and challenges associated with the PFAS remediation.",Thakur Aman; Khusnutdinova Anna N; Navarro-Márquez Mireya; Kumar Vinod; Ma Hairong,Ecotoxicology and environmental safety,2025,10.1016/j.ecoenv.2025.119374
39047923,Per- and polyfluoroalkyl substances (PFAS) exposure and thyroid cancer: Systematic review and meta-analysis.,"Per- and polyfluoroalkyl substances (PFAS) exposure is a potential risk factor for thyroid cancer and may be a contributor to the increasing thyroid cancer incidence rates. A systematic review and meta-analysis was performed to summarize all human studies to date investigating the association between PFAS exposure and thyroid cancer. A search of the National Library of Medicine and National Institutes of Health PubMed and Scopus databases was done to identify relevant articles published in English through January 2024. Studies reporting the association between PFAS exposure and thyroid cancer using odds ratios (OR) were included in the meta-analysis with summary estimate calculated using a random effects model (n=5). Perfluorooctanoic acid (PFOA) was the most investigated PFAS. Results of the included studies varied, ranging from significant positive to significant negative associations with thyroid cancer incidence for different PFAS. Meta-analyses of PFOA, Perfluorooctanesulfonic acid (PFOS), perfluorononanoic acid (PFNA), perfluorohexanesulfonic acid (PFHxS) were not significant. This comprehensive review of the current literature highlights the limited knowledge and inconsistent results of this association. Large longitudinal cohort studies with varying time between sample collection and thyroid cancer diagnosis are needed to better understand the role of PFAS exposure on thyroid carcinogenesis.",van Gerwen Maaike; Chung Tony; Monaghan Mathilda; Vermeulen Roel; Petrick Lauren,Toxicology letters,2024,10.1016/j.toxlet.2024.07.910
39060682,[Not Available].,,,"Bundesgesundheitsblatt, Gesundheitsforschung, Gesundheitsschutz",2024,10.1007/s00103-024-03906-5
39605965,Adverse outcome pathway for the neurotoxicity of Per- and polyfluoroalkyl substances: A systematic review.,"Per- and polyfluoroalkyl substances (PFAS) are endocrine disruptors with unambiguous neurotoxic effects. However, due to variability in experimental models, population characteristics, and molecular endpoints, the elucidation of mechanisms underlying PFAS-induced neurotoxicity remains incomplete. In this review, we utilized the adverse outcome pathway (AOP) framework, a comprehensive tool for evaluating toxicity across multiple biological levels (molecular, cellular, tissue and organ, individual, and population), to elucidate the mechanisms of neurotoxicity induced by PFAS. Based on 271 studies, the reactive oxygen species (ROS) generation emerged as the molecular initiating event 1 (MIE1). Subsequent key events (KEs) at the cellular level include oxidative stress, neuroinflammation, apoptosis, altered Ca",Li Shenpan; Qin Shuangjian; Zeng Huixian; Chou Weichun; Oudin Anna,Eco-Environment & Health,2024,10.1016/j.eehl.2024.08.002
38712868,Per- and polyfluoroalkyl substances alter innate immune function: evidence and data gaps.,"Per- and polyfluoroalkyl substances (PFASs) are a large class of compounds used in a variety of processes and consumer products. Their unique chemical properties make them ubiquitous and persistent environmental contaminants while also making them economically viable and socially convenient. To date, several reviews have been published to synthesize information regarding the immunotoxic effects of PFASs on the adaptive immune system. However, these reviews often do not include data on the impact of these compounds on innate immunity. Here, current literature is reviewed to identify and incorporate data regarding the effects of PFASs on innate immunity in humans, experimental models, and wildlife. Known mechanisms by which PFASs modulate innate immune function are also reviewed, including disruption of cell signaling, metabolism, and tissue-level effects. For PFASs where innate immune data are available, results are equivocal, raising additional questions about common mechanisms or pathways of toxicity, but highlighting that the innate immune system within several species can be perturbed by exposure to PFASs. Recommendations are provided for future research to inform hazard identification, risk assessment, and risk management practices for PFASs to protect the immune systems of exposed organisms as well as environmental health.",Phelps Drake W; Connors Ashley M; Ferrero Giuliano; DeWitt Jamie C; Yoder Jeffrey A,Journal of immunotoxicology,2024,10.1080/1547691X.2024.2343362
37827483,Endocrine-disrupting chemicals and male reproductive health.,"Modifiable factors, such as environmental exposures, can impact human fertility. The objective of this review is to summarize the potential effects of exposure to important endocrine-disrupting chemicals on male reproductive health. Most experimental and animal data demonstrate strong evidence for the negative effects of exposure to phenols, phthalates, pesticides, and perfluoroalkyl and polyfluoroalkyl substances on male reproductive health. Although evidence of negative associations in humans was overall strong for phthalates and pesticides, limited and inconclusive relationships were found for the other examined chemical biomarkers. Reasons for the discrepancies in results include but are not limited to, differences in study populations, exposure concentrations, number of samples collected, sample sizes, study design, and residual confounding. Additional studies are needed, particularly for newer phenols and perfluoroalkyl and polyfluoroalkyl substances, given the scarce literature on the topic and increasing exposures over time.",Mínguez-Alarcón Lidia; Gaskins Audrey J; Meeker John D; Braun Joseph M; Chavarro Jorge E,Fertility and sterility,2023,10.1016/j.fertnstert.2023.10.008
40692028,A case-cohort study of the association between per- and polyfluoroalkyl substances (PFAS) and breast cancer among participants in the American Cancer Society's Cancer Prevention Study-II.,"Per- and polyfluoroalkyl substances (PFAS) are hypothesized to increase breast cancer risk; findings from prior studies are inconsistent, with many not considering subtypes. To evaluate associations between serum PFAS concentrations and breast cancer incidence, overall and by selected characteristics. We conducted a case-cohort study among Cancer Prevention Study-II LifeLink Cohort female participants (mean age = 68) who developed breast cancer (n = 781) during follow-up (1998-2015) or were in a randomly selected subcohort (n = 498). PFAS concentrations [perfluorooctanoic acid (PFOA) perfluorooctane sulfonate (PFOS), perfluorohexane sulfonic acid (PFHxS), and perfluorononanoic acid (PFNA)] were measured in blood samples collected at baseline (1998-2001). Multivariable Cox proportional hazards models with Prentice weighting were used to estimate hazard ratios (HR) and 95 % confidence intervals (CI) for associations between PFAS concentrations and breast cancer risk. PFAS concentrations were not associated with breast cancer overall but demonstrated heterogeneity by participant characteristics. For example, associations for the highest compared to lowest PFNA quartiles were in opposite directions for estrogen receptor positive (ER+) HR (95 % CI) = 0.88 (0.61-1.27) and estrogen receptor negative (ER PFAS were not associated with overall breast cancer risk in this population of predominantly older women; however, the findings suggest that certain subgroups may be more susceptible to PFAS-related risk. These preliminary results warrant replication in future prospective studies.",Shahi Shamim; Winquist Andrea; Troeschel Alyssa N; Diver W Ryan; Hodge James M,Environmental research,2025,10.1016/j.envres.2025.122381
37239886,Perfluoroalkyl Substances (PFAS) Affect Inflammation in Lung Cells and Tissues.,"Adverse lung outcomes from exposure to per-and polyfluoroalkyl substances (PFAS) are known; however, the mechanism of action is poorly understood. To explore this, human bronchial epithelial cells were grown and exposed to varied concentrations of short-chain (perfluorobutanoic acid, perflurobutane sulfonic acid and GenX) or long-chain (PFOA and perfluorooctane sulfonic acid (PFOS)) PFAS, alone or in a mixture to identify cytotoxic concentrations. Non-cytotoxic concentrations of PFAS from this experiment were selected to assess NLRP3 inflammasome activation and priming. We found that PFOA and PFOS alone or in a mixture primed and activated the inflammasome compared with vehicle control. Atomic force microscopy showed that PFOA but not PFOS significantly altered the membrane properties of cells. RNA sequencing was performed on the lungs of mice that had consumed PFOA in drinking water for 14 weeks. Wild type (WT), PPARα knock-out (KO) and humanized PPARα (KI) were exposed to PFOA. We found that multiple inflammation- and immune-related genes were affected. Taken together, our study demonstrated that PFAS exposure could alter lung biology in a significant manner and may contribute to asthma/airway hyper-responsiveness.",Dragon Julie; Hoaglund Michael; Badireddy Appala Raju; Nielsen Greylin; Schlezinger Jennifer,International journal of molecular sciences,2023,10.3390/ijms24108539
35905606,Photodegradation of per- and polyfluoroalkyl substances in water: A review of fundamentals and applications.,"Per- and polyfluoroalkyl substances (PFAS) are persistent, mobile, and toxic chemicals that are hazardous to human health and the environment. Several countries, including the United States, plan to set an enforceable maximum contamination level for certain PFAS compounds in drinking water sources. Among the available treatment options, photocatalytic treatment is promising for PFAS degradation and mineralization in the aqueous solution. In this review, recent advances in the abatement of PFAS from water using photo-oxidation and photo-reduction are systematically reviewed. Degradation mechanisms of PFAS by photo-oxidation involving the holes (h",Liu Fuqiang; Guan Xiaohong; Xiao Feng,Journal of hazardous materials,2022,10.1016/j.jhazmat.2022.129580
38641293,Chloroperfluoropolyether carboxylate compounds: A review.,"Several new per- and polyfluoroalkyl substances (PFASs) have been synthesized to replace traditional (legacy) PFASs frequently without clear information on their structure, use and potential toxicity. Among them, chloroperfluoropolyether carboxylates (ClPFPECAs) are an emerging group used as processing aids in the production of fluoropolymers to replace the ammonium salt of perfluorononanoic acid (PFNA). The Solvay Company has produced ClPFPECAs as a mixture of six congeners (oligomers) since the mid-1990s, but other possible manufacturers and annual quantities synthesized and used worldwide are unknown. Initial studies to monitor their presence were conducted because of public authority concerns about suspect environmental contamination near fluoropolymer plants. As of 2015, these chemicals have been found in soil, water, vegetative tissues and wildlife, as well as in biological fluids of exposed workers and people, in research carried out mainly in the United States (New Jersey) and Italy. Analysis of wildlife collected even in non-industrialized areas demonstrated widespread occurrence of ClPFPECAs. From the analytical point of view, the (presumptive) evidence of their presence was obtained through the application of non-targeted approaches performed by liquid chromatography coupled with high-resolution mass spectrometry (LC-HRMS). Available toxicological data show that ClPFPECAs have similar adverse effects than the compounds which they have replaced, whereas their carcinogenic potential and reproductive damage are currently unknown. All these observations once again cast doubt on whether many alternatives to traditional PFAS are actually safer for the environment and health.",Bucaletti Elisabetta; Barola Carolina; Galarini Roberta,Chemosphere,2024,10.1016/j.chemosphere.2024.142045
