ID,SMILES,Name,Category,ChainLength
Emerging-48,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 48,amide_variant,4
Emerging-49,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 49,amide_variant,13
Emerging-50,OC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 50,ether_variant,8
Emerging-51,OC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 51,ether_variant,9
Emerging-52,OC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 52,ether_variant,15
Emerging-53,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 53,amide_variant,12
Emerging-54,OC(=O)C1(F)CCC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 54,cyclic_variant,14
Emerging-55,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 55,amide_variant,4
Emerging-56,OC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,Emerging PFAS variant 56,ether_variant,6
Emerging-57,OC(=O)C1(F)CCC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 57,cyclic_variant,10
Emerging-58,OC(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F,Emerging PFAS variant 58,branched_variant,6
Emerging-59,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 59,amide_variant,15
Emerging-60,OC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 60,ether_variant,8
Emerging-61,OC(=O)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 61,ether_variant,7
Emerging-62,OC(=O)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 62,ether_variant,10
Emerging-63,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 63,amide_variant,11
Emerging-64,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 64,amide_variant,10
Emerging-65,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 65,amide_variant,5
Emerging-66,OC(=O)C1(F)CCC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 66,cyclic_variant,14
Emerging-67,OC(=O)C1(F)CCC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 67,cyclic_variant,11
Emerging-68,OC(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F,Emerging PFAS variant 68,branched_variant,6
Emerging-69,OC(=O)C1(F)CCC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 69,cyclic_variant,12
Emerging-70,OC(=O)C1(F)CCC(F)(F)C1(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 70,cyclic_variant,6
Emerging-71,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 71,amide_variant,5
Emerging-72,OC(=O)C1(F)CCC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 72,cyclic_variant,9
Emerging-73,OC(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,Emerging PFAS variant 73,branched_variant,4
Emerging-74,OC(=O)C1(F)CCC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 74,cyclic_variant,15
Emerging-75,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 75,amide_variant,10
Emerging-76,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 76,amide_variant,7
Emerging-77,OC(=O)C1(F)CCC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 77,cyclic_variant,9
Emerging-78,OC(=O)C1(F)CCC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 78,cyclic_variant,11
Emerging-79,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 79,amide_variant,6
Emerging-80,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 80,amide_variant,15
Emerging-81,OC(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 81,branched_variant,7
Emerging-82,OC(=O)C1(F)CCC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 82,cyclic_variant,10
Emerging-83,OC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 83,ether_variant,11
Emerging-84,OC(=O)C1(F)CCC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 84,cyclic_variant,7
Emerging-85,OC(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 85,branched_variant,10
Emerging-86,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 86,amide_variant,10
Emerging-87,OC(=O)C1(F)CCC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 87,cyclic_variant,10
Emerging-88,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 88,amide_variant,14
Emerging-89,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 89,amide_variant,8
Emerging-90,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 90,amide_variant,5
Emerging-91,OC(=O)C1(F)CCC(F)(F)C1(F)F,Emerging PFAS variant 91,cyclic_variant,4
Emerging-92,OC(=O)C1(F)CCC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 92,cyclic_variant,12
Emerging-93,OC(=O)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 93,ether_variant,10
Emerging-94,OC(=O)C1(F)CCC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 94,cyclic_variant,13
Emerging-95,OC(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,Emerging PFAS variant 95,branched_variant,5
Emerging-96,OC(=O)C1(F)CCC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 96,cyclic_variant,7
Emerging-97,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 97,amide_variant,5
Emerging-98,OC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 98,ether_variant,8
Emerging-99,OC(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Emerging PFAS variant 99,branched_variant,10
Emerging-100,OC(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,Emerging PFAS variant 100,branched_variant,5
