pmid,title,authors,journal,year,doi,abstract,pfas_compounds,toxicity_aspects,mechanisms,keywords,fulltext
41726988,Structural insights into PFAS-β-lactoglobulin binding mechanism mediating PFAS toxicity.,Verma Shalja; Singh Anika; Ramirez Orozco Randhal S; Vukovic Lela; Narayan Mahesh,bioRxiv : the preprint server for biology,2026,10.1101/2025.09.02.673760,"The strong, polar-covalent nature of C-F bonds contributes to the forever nature of per- and polyfluoroalkyl (PFAS) substances. PFAS are toxic to humans. Here, we have examined the ability of the small, globular, milk protein β-lactoglobulin to bind PFAS. The protein transports hydrophobic and amphiphilic compounds, including retinol and fatty acids, for vision and brain development; therefore, underscoring its interactions with PFAS is significant. The crystal structures of β-lactoglobulin comp",PFOA; PFOS; PFDA,toxicity; toxic,mechanism; binding,MD simulation; Neurotoxicity; Per- and polyfluoroalkyl (PFAS) substances; X-ray crystallography; β-lactoglobulin,"[摘要] The strong, polar-covalent nature of C-F bonds contributes to the forever nature of per- and polyfluoroalkyl (PFAS) substances. PFAS are toxic to humans. Here, we have examined the ability of the small, globular, milk protein β-lactoglobulin to bind PFAS. The protein transports hydrophobic and amphiphilic compounds, including retinol and fatty acids, for vision and brain development; therefore, underscoring its interactions with PFAS is significant. The crystal structures of β-lactoglobulin complexed with PFOA (Perfluorooctanoic acid) at 2.0 (Å), PFOS (Perfluorooctanesulfonic acid) at 2.5 (Å), and PFDA (Perfluorodecanoic acid) at 2.0 (Å) reveal high affinity of the compounds for the central calyx of β-lactoglobulin, which is the canonical retinol and fatty acid binding site. Analyses of the data indicate significant hydrophobic interactions stabilizing the binding of the PFAS hydrophobic “tails” within the calyx and interactions between Lys60 and Lys69 and PFAS polar head groups. Comparative structural analysis revealed the presence of an open conformation of the EF loop containing the Glu89 latch residue in the complexed structures vis-a-vis the apo-form. Molecular dynamics (MD) simulations revealed high stability of the PFAS binding and attainment of energy minima in all complexes. The average binding energy of PFDA in β-lactoglobulin calyx was −25 kcal/mol, which was higher than PFOS (−21 kcal/mol) and PFOA (−23 kcal/mol) due to increased van der Waals interactions of the longer hydrophobic chain of PFDA with β-lactoglobulin. This work advances a mechanism by which β-lactoglobulin can recruit PFAS and act as a transporter for the “forever” chemical, potentially mediating its neurotoxicity.

[摘要] 


[Introduction] The C-F bond is very stable due to the strong electronegative character of the fluorine atom (4.0 versus 2.5 for carbon), resulting in the shared electron density essentially becoming concentrated around the fluorine and leaving the carbon relativel"
34006824,Perfluoroalkyl substance pollutants activate the innate immune system through the AIM2 inflammasome.,Wang Li-Qiu; Liu Tao; Yang Shuai; Sun Lin; Zhao Zhi-Yao,Nature communications,2021,10.1038/s41467-021-23201-0,"Perfluoroalkyl substances (PFAS) are widely used in various manufacturing processes. Accumulation of these chemicals has adverse effects on human health, including inflammation in multiple organs, yet how PFAS are sensed by host cells, and how tissue inflammation eventually incurs, is still unclear. Here, we show that the double-stranded DNA receptor AIM2 is able to recognize perfluorooctane sulfonate (PFOS), a common form of PFAS, to trigger IL-1β secretion and pyroptosis. Mechanistically, PFOS",PFOS,adverse; immune,receptor,,"[摘要] Perfluoroalkyl substances (PFAS) are widely used in various manufacturing processes. Accumulation of these chemicals has adverse effects on human health, including inflammation in multiple organs, yet how PFAS are sensed by host cells, and how tissue inflammation eventually incurs, is still unclear. Here, we show that the double-stranded DNA receptor AIM2 is able to recognize perfluorooctane sulfonate (PFOS), a common form of PFAS, to trigger IL-1β secretion and pyroptosis. Mechanistically, PFOS activates the AIM2 inflammasome in a process involving mitochondrial DNA release through the Ca

[摘要] The double-stranded DNA receptor AIM2 is able to sense the environmental pollutant perfluorooctane sulfonate, a prototypical perfluoro-alkyl substrate. Activation of the AIM2 pathway leads to inflammation and tissue damage via IL-1β secretion and pyroptosis of affected innate immune cells.

[Introduction] Perfluoroalkyl substances (PFAS) are widely used in industrial manufacturing processes and consumer products due to their joint hydrophobic and oleophobic properties

[Introduction] Several studies have indicated that oxidative and inflammatory responses are involved in PFOS-induced cell injury and tissue damage. PFOS induces oxidative stress via inhibiting antioxidant factors (such as superoxide dismutase, lysozyme) or promoting reactive oxygen species in hepatocytes or endothelial cells, leading to cell death

[Introduction] Pattern recognition receptors (PRRs) are a broad family of proteins expressed by various cells of the innate immune system, recognizing conserved molecular moieties commonly associated with pathogens and environmental factors. PRRs recognize specific molecular patterns (e.g., protein, RNA, and DNA) of microorganisms, referred to as pathogen-associated molecular patterns (PAMPs), activating a series of innate immune pathways. Unlike PAMPs from microbes, the environmental toxins or pollutants are usually not recognized directly by PRRs, but they ma"
40465018,"Analyzing the potential targets and mechanism of per- and polyfluoroalkyl substances (PFAS) on breast cancer by integrating network toxicology, single-cell sequencing, spatial transcriptomics, and molecular simulation.",Li Jiajun; Wang Deqi; Song Sihan; Wang Yi; Wu Xinlei,Functional & integrative genomics,2025,10.1007/s10142-025-01616-y,"Per- and polyfluoroalkyl substances (PFAS), particularly perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS), are persistent environmental contaminants linked to adverse health effects, including an increased risk of breast cancer. However, the molecular mechanisms through which PFAS contribute to breast cancer development remain poorly understood. In this study, we employed an integrated approach combining network toxicology, single-cell sequencing, spatial transcriptomics, and m",PFOA; PFOS,toxic; adverse; health effect; cancer; immune,mechanism; binding,,
39389194,"Bioaccumulation potentials of per-and polyfluoroalkyl substances (PFAS) in recreational fisheries: Occurrence, health risk assessment and oxidative stress biomarkers in coastal Biscayne Bay.",Ogunbiyi Olutobi Daniel; Lemos Leila; Brinn Richard P; Quinete Natalia Soares,Environmental research,2024,10.1016/j.envres.2024.120128,"Per-and polyfluoroalkyl substances (PFAS) are a group of synthetic, highly fluorinated, and emerging chemicals that are reported to be used for both industrial and domestic applications. Several PFAS have demonstrated persistent, bioaccumulative and toxic tendencies in marine organisms. Therefore, this research aims to characterize and quantify these compounds in both recreational fisheries and surface water samples, including estimating their bioaccumulation potentials. In addition, we assessed",FOSA,toxic; immune,oxidative stress,Bioaccumulation factor; Hazard risk; Morphological index; Oxidative stress biomarkers; PFAS,
39492895,Analyzing the impact of perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS) on the reproductive system using network toxicology and molecular docking.,Chen Liang; Liang Shanshan; Li Jiaxin; Li Qian; Sun Qingwen,Heliyon,2024,10.1016/j.heliyon.2024.e39419,"Growing evidence suggests that perfluorinated compounds (PFCs) contribute to reproductive toxicity, with perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS) being the most extensively studied. These chemicals are known to lower testosterone levels and compromise the integrity of the blood-testis barrier. However, the specific mechanisms of their reproductive toxicity remain largely unknown due to research limitations. In this study, we utilized network pharmacology to pinpoint the",PFOA; PFOS,toxicity; toxic,mechanism; pathway; receptor,Molecular docking; Network pharmacology; Perfluorooctane sulfonate; Perfluorooctanoic acid; Reproductive toxicity,
40651139,Consumer health risk assessment of per- and polyfluoroalkyl substances (PFAS) and polycyclic aromatic hydrocarbon (PAH) in the Ecuadorian red mangrove crab.,De Cock Andrée; De Clercq Kaat; Pensaert Emma; Groffen Thimo; Jacxsens Liesbeth,Food chemistry,2025,10.1016/j.foodchem.2025.145450,"Anthropogenic pollutant accumulation is a concern in Ecuador's Guayas Estuary. In this study, we investigated per- and polyfluoroalkyl substances (PFAS) and polycyclic aromatic hydrocarbons (PAHs) in the meat of the red mangrove crab (Ucides occidentalis), an Ecuadorian commercial food product. This study examined contaminant levels in crabs from two mangrove reserves and assessed associated health risks to consumers. The presence of 8 PFAS was found in the crabmeat: PFBA, PFHxA, PFOA, PFDA, PFD",PFOA; PFDA; PFHxA; PFBA,,,Aquatic biota; Ecuador; Emerging pollutants; Environmental contaminants; Guayas estuary; Human health risk assessment; Mangrove reserves,
35262431,Effects of perfluoroalkyl substances on soil respiration and enzymatic activity: differences in carbon chain-length dependence.,Lv Ming; Xie Yangyang; Yu Hui; Sun Tao; Song Liping,"Journal of environmental science and health. Part. B, Pesticides, food contaminants, and agricultural wastes",2022,10.1080/03601234.2022.2047563,"Perfluoroalkyl substances (PFASs) are anthropogenic compounds that exhibit ecotoxicity when discharged into the environment, causing increasing concern. An indoor experiment was conducted to investigate the effects of perfluoroalkyl carboxylic acids (PFCAs) and PFSAs on soil respiration, sucrase activity, and urease activity at 0, 7, 14, and 28 d for perfluorooctanoic acid (PFOA), perfluorohexanoic acid (PFHxA), and perfluorobutyric acid (PFBA), and at 14 and 28 d for perfluorooctane sulfonic ac",PFOA; PFOS; PFHxA; PFBS; PFHxS; PFBA,toxicity; toxic,,Perfluoroalkyl substances; chain length dependence; soil enzyme activity; soil respiration,
35013956,Mixed effects of perfluoroalkyl and polyfluoroalkyl substances exposure on cognitive function among people over 60 years old from NHANES.,Weng Xueqiong; Liang Huanzhu; Tan Yuxuan; Chen Jingmin; Fei Qiaoyuan,Environmental science and pollution research international,2022,10.1007/s11356-021-17789-5,"The relationship between perfluoroalkyl and polyfluoroalkyl substances (PFAS) and cognitive function are inconsistent, and the mixed effects of PFAS on cognitive function are still unclear. We aimed to evaluate the joint effects of PFAS on cognitive function assessed using four tests as follows: the Consortium to Establish a Registry for Alzheimer's Disease Immediate Recall Test (IRT), Delayed Recall Test (DRT), the Animal Fluency Test (AFT), and the Digit Symbol Substitution Test (DSST) in the ",PFOA,,,BKMR; Cognitive function; Elderly; Mixed effect; PFAS; Protective,
33026654,Per- and Polyfluoroalkyl Substances (PFAS) in Surface Water Near US Air Force Bases: Prioritizing Individual Chemicals and Mixtures for Toxicity Testing and Risk Assessment.,East Andrew; Anderson Richard H; Salice Christopher J,Environmental toxicology and chemistry,2021,10.1002/etc.4893,Per- and polyfluoroalkyl substances (PFAS) are a large class of persistent chemicals used for decades in industrial and commercial applications. A key challenge with regard to estimating potential risk to ecological (and human) receptors associated with PFAS exposure lies in the fact that there are many different PFAS compounds and several to many can co-occur in any given environmental sample. We applied a data science approach to characterize and prioritize PFAS and PFAS mixtures from a large ,PFOA; PFOS; PFHxA; PFHxS,toxicity; toxic,receptor,Data science; Ecological risk assessment; Ecotoxicology; Mixture toxicity,
39584959,Impact of Legacy Perfluorooctane Sulfonate (PFOS) and Perfluorooctanoate (PFOA) on GABA Receptor-Mediated Currents in Neuron-Like Neuroblastoma Cells: Insights into Neurotoxic Mechanisms and Health Implications.,Lagostena Laura; Rotondo Davide; Gualandris Davide; Calisi Antonio; Lorusso Candida,Journal of xenobiotics,2024,10.3390/jox14040094,"Perfluorooctane sulfonate (PFOS) and perfluorooctanoic acid (PFOA) are persistent environmental pollutants, raising concerns due to their widespread presence and disruptive biological effects. These compounds are highly stable, allowing them to bioaccumulate in the environment and living organisms, potentially impacting critical physiological functions such as hormonal balance, immune response, and increasing cancer risk. Despite regulatory restrictions, their pervasive nature necessitates furth",PFOA; PFOS,toxicity; toxic; cancer; immune,mechanism; receptor,GABAergic signaling; PFAS; electrophysiology; neurotoxicity; persistence; toxicology,"[摘要] Perfluorooctane sulfonate (PFOS) and perfluorooctanoic acid (PFOA) are persistent environmental pollutants, raising concerns due to their widespread presence and disruptive biological effects. These compounds are highly stable, allowing them to bioaccumulate in the environment and living organisms, potentially impacting critical physiological functions such as hormonal balance, immune response, and increasing cancer risk. Despite regulatory restrictions, their pervasive nature necessitates further research into their potential effects on cellular and neuronal function. This study first evaluated the cytotoxic effects of PFOS and PFOA on S1 neuroblastoma cells; a dose-dependent reduction in cell viability was revealed for PFOS, while PFOA exhibited minimal toxicity until millimolar concentrations. We further investigated their potential to modulate GABAergic neurotransmission using patch-clamp electrophysiology. Both PFOS and PFOA caused a significant but reversible reduction in GABA receptor-mediated currents following one-minute pre-treatment. These findings suggest that PFOS and PFOA can interfere with both cellular viability and GABAergic signaling, providing critical insights into their functional impacts and highlighting the need for further investigation into the long-term consequences of PFAS exposure on nervous system health.

[1. Introduction] Perfluorooctane sulfonate (PFOS) and perfluorooctanoate (PFOA) are notorious environmental contaminants that fall under the extensive category of per- and polyfluoroalkyl substances (PFAS). Renowned for their multiple industrial applications such as aqueous film forming foams (AFFFs), fluoropolymer resins, water- and stain-resistant additives, these chemicals have sparked growing alarm due to their extraordinary persistence in the environment, their ability to bioaccumulate in living organisms, and their potential for long term toxicity including cancer [

[1. Introduction] Furthermore, recent studies have detect"
35752307,"In vitro activity of a panel of per- and polyfluoroalkyl substances (PFAS), fatty acids, and pharmaceuticals in peroxisome proliferator-activated receptor (PPAR) alpha, PPAR gamma, and estrogen receptor assays.",Evans Nicola; Conley Justin M; Cardon Mary; Hartig Phillip; Medlock-Kakaley Elizabeth,Toxicology and applied pharmacology,2022,10.1016/j.taap.2022.116136,"Data demonstrate numerous per- and polyfluoroalkyl substances (PFAS) activate peroxisome proliferator-activated receptor alpha (PPARα), however, additional work is needed to characterize PFAS activity on PPAR gamma (PPARγ) and other nuclear receptors. We utilized in vitro assays with either human or rat PPARα or PPARγ ligand binding domains to evaluate 16 PFAS (HFPO-DA, HFPO-DA-AS, NBP2, PFMOAA, PFHxA, PFOA, PFNA, PFDA, PFOS, PFBS, PFHxS, PFOSA, EtPFOSA, and 4:2, 6:2 and 8:2 FTOH), 3 endogenous ",PFOA; PFOS; PFNA; PFDA; PFHxA; PFBS; PFHxS; HFPO-DA; FOSA,,receptor; activation; binding,Adverse outcome pathway; Bioactivity; GenX; Mechanism of action; Molecular initiating event,
38521043,Mixtures of per- and polyfluoroalkyl substances (PFAS) alter sperm methylation and long-term reprogramming of offspring liver and fat transcriptome.,Maxwell DruAnne L; Oluwayiose Oladele A; Houle Emily; Roth Katherine; Nowak Karolina,Environment international,2024,10.1016/j.envint.2024.108577,Male fertility has been declining worldwide especially in countries with high levels of endocrine disrupting chemicals (EDCs). Per- and polyfluorinated alkyl Substances (PFAS) have been classified as EDCs and have been linked to adverse male reproductive health. The mechanisms of these associations and their implications on offspring health remain unknown. The aims of the current study were to assess the effect of PFAS mixtures on the sperm methylome and transcriptional changes in offspring meta,PFOA; PFOS; PFNA; PFHxS; GenX,adverse; endocrine; liver; developmental,mechanism; pathway,Intergenerational; Metabolic Transcriptome; PFAS; Sperm Epigenetics; Sperm Methylome,
41161260,Risk assessment and distribution of PFAS in a biological phosphorus recovery sludge used for agriculture.,Ardiyanti Rizza; Azrague Kamal; Østerhus Stein W; Gonzales-Silva Blanca M; Asimakopoulos Alexandros G,Chemosphere,2025,10.1016/j.chemosphere.2025.144730,"The growing demand for phosphorus recovery from wastewater has increased interest in Enhanced Biological Phosphorus Removal (EBPR) processes. However, the fate of per- and polyfluoroalkyl substances (PFAS) in EBPR-derived biosolids remains poorly understood. This study investigated the adsorption behavior of four PFAS: perfluorooctanoic acid (PFOA), perfluorooctanesulfonic acid (PFOS), perfluorooctanesulfonamide (PFOSA), and perfluorotetradecanoic acid (PFTDA) in EBPR sludge and assessed the lon",PFOA; PFOS; FOSA,,,Adsorption; Distribution coefficient; EBPR sludge; PFAS; Phosphorus removal,
34985474,PFAS fate and destruction mechanisms during thermal treatment: a comprehensive review.,Longendyke Grace K; Katel Sebica; Wang Yuxin,Environmental science. Processes & impacts,2022,10.1039/d1em00465d,"Per- and polyfluoroalkyl substances (PFAS) are persistent chemicals and have been detected throughout the environment. Thermal treatment is the most common remediation approach for PFAS-contaminated solid wastes. Although various thermal treatment techniques have demonstrated the potential to destruct PFAS, the fate of PFAS, removal efficacy, potential emissions, and the formation of incomplete combustion products during thermal treatment are little known. This study provides a critical review o",PFOA; PFOS,,mechanism; pathway,,
