smiles,name,category,chain_length,source,NR-AR,NR-AR-LBD,NR-AhR,SR-HSE,SR-MMP,SR-p53,BCF,Biodegradability
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,H-PFCA-C8,H-PFCA,8,systematic,0,0,0,0,1,1,3.3597265582510367,0
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,H-PFCA-C9,H-PFCA,9,systematic,1,0,1,1,1,1,2.8441890102137957,0
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,H-PFCA-C10,H-PFCA,10,systematic,0,1,0,0,0,0,3.3547297781401246,0
OC(=O)C(F)(F)C(F)(F)CC,4:2 FTCA,FTCA,4,systematic,0,0,0,0,0,0,2.2242295545820516,1
OC(=O)C(F)(F)C(F)(F)C(F)(F)CC,5:2 FTCA,FTCA,5,systematic,0,0,0,0,0,0,2.1256650454105452,0
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC,6:2 FTCA,FTCA,6,systematic,1,0,0,0,0,0,2.894148809036113,0
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC,7:2 FTCA,FTCA,7,systematic,0,1,1,0,1,0,2.9378284483472092,0
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC,8:2 FTCA,FTCA,8,systematic,1,1,0,0,0,0,3.18429756032051,0
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC,9:2 FTCA,FTCA,9,systematic,0,0,1,0,1,0,3.1131901440538217,0
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC,10:2 FTCA,FTCA,10,systematic,0,1,1,1,1,1,3.251301496723378,0
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC,11:2 FTCA,FTCA,11,systematic,1,1,1,0,1,1,3.5319456879409095,0
NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FOSA-C5,FASA,5,systematic,0,1,1,0,1,1,0.6546858032538989,1
NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FOSA-C6,FASA,6,systematic,0,1,0,1,0,0,1.8580729646288954,0
NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FOSA-C7,FASA,7,systematic,0,1,1,0,0,0,0.9398161575470968,0
NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FOSA-C8,FASA,8,systematic,0,1,1,1,0,0,0.5863381400249664,1
NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FOSA-C9,FASA,9,systematic,0,1,0,0,0,1,1.4273270949743915,0
NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FOSA-C10,FASA,10,systematic,0,1,0,1,1,0,0.6272565711277879,1
OC(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,branched-PFCA-C6,branched-PFCA,6,systematic,0,0,1,1,1,0,2.484466733624269,0
OC(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F,branched-PFCA-C7,branched-PFCA,7,systematic,0,0,1,0,0,0,2.8359658544864463,0
OC(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,branched-PFCA-C8,branched-PFCA,8,systematic,0,0,0,0,1,1,3.2478059451401218,0
OC(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,branched-PFCA-C9,branched-PFCA,9,systematic,0,0,1,0,1,0,3.3266619018395227,0
OC(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,branched-PFCA-C10,branched-PFCA,10,systematic,1,0,1,0,1,0,3.6420882163182693,0
OC(=O)C1(F)CCC(F)(F)C1(F)F,cyclic-PFCA-4,cyclic-PFCA,4,systematic,0,0,0,0,0,0,2.316305173381571,1
OC(=O)C1(F)CCC(F)(F)C1(F)C(F)(F)F,cyclic-PFCA-5,cyclic-PFCA,5,systematic,1,0,0,1,1,0,2.0641451622782916,0
OC(=O)C1(F)CCC(F)(F)C1(F)C(F)(F)C(F)(F)F,cyclic-PFCA-6,cyclic-PFCA,6,systematic,0,0,0,0,1,1,2.9352019232742506,0
OC(=O)C1(F)CCC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)F,cyclic-PFCA-7,cyclic-PFCA,7,systematic,0,0,1,1,0,1,3.12258890495884,0
CCO,Ethanol,Control,2,control,0,1,1,0,0,0,1.310553330781833,1
CC(=O)O,Acetic acid,Control,2,control,0,0,0,1,0,0,0.9686931597949703,1
c1ccccc1,Benzene,Control,6,control,0,0,1,0,1,1,1.0554317056026274,1
CC(C)O,Isopropanol,Control,3,control,1,0,0,0,0,1,1.10617463445088,0
CCCCCCCC,Octane,Control,8,control,0,0,0,0,0,0,1.2723183917356393,1
c1ccc(O)cc1,Phenol,Control,6,control,1,0,0,1,0,0,0.528782676313339,1
CC(=O)OCC,Ethyl acetate,Control,4,control,0,0,0,0,0,0,1.089917686854633,1
CCN,Ethylamine,Control,2,control,0,1,0,0,0,0,1.1220867002278734,1
CC(C)=O,Acetone,Control,3,control,1,0,1,0,0,0,1.480032575285477,1
CCCCCCCCCO,1-Nonanol,Control,9,control,0,0,0,0,0,0,0.6519026935122944,0
c1ccc(N)cc1,Aniline,Control,6,control,0,0,0,1,0,0,0.6723198712016298,0
CC(C)(O)C,tert-Butanol,Control,4,control,0,0,0,0,0,0,0.9607787680327258,0
CCCCCC,Hexane,Control,6,control,0,0,0,0,0,0,0.5817590319488719,1
CCCCCCCCCCCC,Dodecane,Control,12,control,1,0,0,0,0,0,0.7093493233367103,1
c1ccc2ccccc2c1,Naphthalene,Control,10,control,0,0,0,0,0,0,0.7524369443440208,1
CC(O)C,2-Propanol,Control,3,control,1,0,0,0,0,0,0.7424705036347297,0
CCCN,Propylamine,Control,3,control,0,0,0,0,0,0,1.390527280739895,1
CCCCl,Chlorobutane,Control,4,control,0,0,0,0,0,0,1.24543947418433,1
CCBr,Bromoethane,Control,2,control,0,0,0,0,0,0,1.4865152487929798,1
CCCC=O,Butyraldehyde,Control,4,control,0,0,0,0,0,0,0.7850951686938471,0
c1ccncc1,Pyridine,Control-Hetero,6,control,1,0,0,0,1,0,0.8978555990457416,1
c1ccoc1,Furan,Control-Hetero,5,control,1,0,0,0,0,1,1.05676289301393,1
c1c[nH]cn1,Imidazole,Control-Hetero,5,control,0,0,0,0,0,0,0.7424097324150802,0
c1cscn1,Thiazole,Control-Hetero,5,control,0,0,0,0,0,0,0.5518235368224269,1
c1ccc2[nH]ccc2c1,Indole,Control-Hetero,9,control,0,0,1,0,0,0,1.1815027222239292,1
C1CCCCC1,Cyclohexane,Control-Hetero,6,control,0,0,0,0,1,0,1.4650269106665126,0
C1CCNC1,Pyrrolidine,Control-Hetero,5,control,0,1,0,0,0,0,1.341828776758272,0
C1CCNCC1,Piperidine,Control-Hetero,6,control,0,0,0,0,0,0,1.0230654247691193,1
C1COCC1,Tetrahydrofuran,Control-Hetero,5,control,1,0,0,0,0,0,0.8013778741641421,1
C1CCOCC1,Morpholine,Control-Hetero,6,control,0,0,1,0,0,1,1.124237995913992,0
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,Chlorpyrifos,EnvControl,10,control,1,0,0,0,0,0,1.0334610919763216,1
Clc1ccc(c(Cl)c1Cl)c2c(Cl)cccc2Cl,PCB-101,EnvControl,12,control,0,0,0,0,0,0,1.0698896848713164,1
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,Lindane,EnvControl,6,control,1,0,0,0,0,0,0.8972872905603673,1
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,Pentachlorobenzene,EnvControl,6,control,0,0,0,0,0,0,1.0427244433475962,0
O=c1[nH]c(=O)c(Cl)c(Cl)[nH]1,DCMU,EnvControl,5,control,0,0,1,0,0,0,1.4472833396118152,0
CC(C)OP(=O)(OC(C)C)OC(C)C,Phosphoric acid triisopropyl,EnvControl,9,control,0,0,0,0,1,1,1.065133183589209,1
CCCCCCCCCCCCCCOS(=O)(=O)[O-],Sodium dodecyl sulfate,EnvControl,14,control,1,0,0,0,0,0,1.236444235624723,1
CCCCCCCCCCCCCCCC(=O)O,Palmitic acid,EnvControl,16,control,1,0,0,1,0,0,1.4208418826173723,1
CCCCCCCCCCCCCCCCCC(=O)O,Stearic acid,EnvControl,18,control,0,0,0,0,0,0,0.5046320230046029,1
OC(=O)c1ccccc1O,Salicylic acid,EnvControl,7,control,0,0,1,0,0,0,0.9522179408898072,0
O=C(c1c(F)c(F)c(C(=O)N2CCC(N3CCCC3)CC2)c(F)c1F)N1CCC(N2CCCC2)CC1,,ChEMBL,5,ChEMBL,0,0,0,0,0,1,1.0435908486749497,1
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(F)(F)C(F)(F)F)nn4-c4ccccc4)c3)c2cc1OC,,ChEMBL,5,ChEMBL,0,0,0,0,1,0,1.1219361855905357,0
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCOC(=O)CCC(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC2)n1,,ChEMBL,5,ChEMBL,1,0,0,0,1,0,1.8470814341610706,0
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCOC(=O)CCC(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC2)n1,,ChEMBL,5,ChEMBL,0,0,0,0,0,1,1.1799332521220414,1
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCOC(=O)CCC(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC2)n1,,ChEMBL,5,ChEMBL,0,0,0,0,0,1,1.9191731932004492,0
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCOC(=O)CCCC(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC2)n1,,ChEMBL,5,ChEMBL,0,0,0,0,0,1,1.488385912865227,0
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCOC(=O)CCCC(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC2)n1,,ChEMBL,5,ChEMBL,0,0,0,0,0,1,0.7678169930815004,1
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCOC(=O)CCCC(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC2)n1,,ChEMBL,5,ChEMBL,0,0,0,1,1,1,1.0957752944276822,1
O=C(O)P(=O)(O)O,FOSCARNET,ChEMBL,5,ChEMBL,0,0,1,0,0,0,0.5397983058107296,0
O=C1c2ccccc2C(=O)N1CNc1ccccc1,,ChEMBL,5,ChEMBL,0,0,1,1,0,0,1.0695386122509003,1
CCCCCCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])C(=O)[O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cc(C)c(=O)[nH]c2=O)C[C@@H]1N=[N+]=[N-].[Na+].[Na+].[Na+],,ChEMBL,5,ChEMBL,0,0,0,0,0,0,1.922679960443235,1
O=C([O-])P(=O)([O-])[O-].[Na+].[Na+].[Na+],FOSCARNET SODIUM,ChEMBL,5,ChEMBL,0,1,0,1,1,0,0.533703962480176,0
