head,relation,tail
PFOS,发表于,bioRxiv : the preprint server for biology
PFDA,研究涉及,toxicity
PFDA,研究涉及,toxic
PFDA,通过机制,mechanism
PFDA,通过机制,binding
PFDA,发表于,bioRxiv : the preprint server for biology
PFOS,研究涉及,immune
PFOS,发表于,Nature communications
PFOA,研究涉及,health effect
PFOA,研究涉及,immune
PFOA,发表于,Functional & integrative genomics
PFOS,研究涉及,health effect
PFOS,发表于,Functional & integrative genomics
FOSA,研究涉及,toxic
FOSA,研究涉及,immune
FOSA,通过机制,oxidative stress
FOSA,发表于,Environmental research
PFOA,通过机制,pathway
PFOA,通过机制,receptor
PFOA,发表于,Heliyon
PFOS,发表于,Heliyon
PFOA,发表于,Food chemistry
PFDA,发表于,Food chemistry
PFHxA,发表于,Food chemistry
PFBA,发表于,Food chemistry
PFOA,发表于,"Journal of environmental science and health. Part. B, Pesticides, food contaminants, and agricultural wastes"
PFOS,发表于,"Journal of environmental science and health. Part. B, Pesticides, food contaminants, and agricultural wastes"
PFHxA,研究涉及,toxicity
PFHxA,研究涉及,toxic
PFHxA,发表于,"Journal of environmental science and health. Part. B, Pesticides, food contaminants, and agricultural wastes"
PFBS,研究涉及,toxicity
PFBS,研究涉及,toxic
PFBS,发表于,"Journal of environmental science and health. Part. B, Pesticides, food contaminants, and agricultural wastes"
PFHxS,研究涉及,toxicity
PFHxS,研究涉及,toxic
PFHxS,发表于,"Journal of environmental science and health. Part. B, Pesticides, food contaminants, and agricultural wastes"
PFBA,研究涉及,toxicity
PFBA,研究涉及,toxic
PFBA,发表于,"Journal of environmental science and health. Part. B, Pesticides, food contaminants, and agricultural wastes"
PFOA,发表于,Environmental science and pollution research international
PFOA,发表于,Environmental toxicology and chemistry
PFOS,发表于,Environmental toxicology and chemistry
PFHxA,通过机制,receptor
PFHxA,发表于,Environmental toxicology and chemistry
PFHxS,通过机制,receptor
PFHxS,发表于,Environmental toxicology and chemistry
PFOA,发表于,Journal of xenobiotics
PFOS,发表于,Journal of xenobiotics
PFOA,通过机制,activation
PFOA,发表于,Toxicology and applied pharmacology
PFOS,发表于,Toxicology and applied pharmacology
PFNA,通过机制,receptor
PFNA,通过机制,activation
PFNA,通过机制,binding
PFNA,发表于,Toxicology and applied pharmacology
PFDA,通过机制,receptor
PFDA,通过机制,activation
PFDA,发表于,Toxicology and applied pharmacology
PFHxA,通过机制,activation
PFHxA,通过机制,binding
PFHxA,发表于,Toxicology and applied pharmacology
PFBS,通过机制,receptor
PFBS,通过机制,activation
PFBS,通过机制,binding
PFBS,发表于,Toxicology and applied pharmacology
PFHxS,通过机制,activation
PFHxS,通过机制,binding
PFHxS,发表于,Toxicology and applied pharmacology
HFPO-DA,通过机制,receptor
HFPO-DA,通过机制,activation
HFPO-DA,通过机制,binding
HFPO-DA,发表于,Toxicology and applied pharmacology
FOSA,通过机制,receptor
FOSA,通过机制,activation
FOSA,通过机制,binding
FOSA,发表于,Toxicology and applied pharmacology
PFOA,研究涉及,endocrine
PFOA,研究涉及,liver
PFOA,研究涉及,developmental
PFOA,发表于,Environment international
PFOS,研究涉及,endocrine
PFOS,研究涉及,liver
PFOS,研究涉及,developmental
PFOS,发表于,Environment international
PFNA,研究涉及,adverse
PFNA,研究涉及,endocrine
PFNA,研究涉及,liver
PFNA,研究涉及,developmental
PFNA,通过机制,mechanism
PFNA,通过机制,pathway
PFNA,发表于,Environment international
PFHxS,研究涉及,adverse
PFHxS,研究涉及,endocrine
PFHxS,研究涉及,liver
PFHxS,研究涉及,developmental
PFHxS,通过机制,mechanism
PFHxS,发表于,Environment international
GenX,研究涉及,adverse
GenX,研究涉及,endocrine
GenX,研究涉及,liver
GenX,研究涉及,developmental
GenX,通过机制,mechanism
GenX,通过机制,pathway
GenX,发表于,Environment international
PFOA,发表于,Chemosphere
PFOS,发表于,Chemosphere
FOSA,发表于,Chemosphere
PFOA,发表于,Environmental science. Processes & impacts
PFOS,发表于,Environmental science. Processes & impacts
PFOA,通过机制,inhibition
PFOA,发表于,Archives of toxicology
PFOS,通过机制,inhibition
PFOS,发表于,Archives of toxicology
GenX,研究涉及,toxicity
GenX,研究涉及,toxic
GenX,通过机制,receptor
GenX,通过机制,activation
GenX,通过机制,inhibition
GenX,通过机制,binding
GenX,发表于,Archives of toxicology
PFOA,发表于,International journal of molecular sciences
PFOS,发表于,International journal of molecular sciences
PFNA,研究涉及,toxic
PFNA,研究涉及,immune
PFNA,发表于,International journal of molecular sciences
PFHxS,研究涉及,immune
PFHxS,发表于,International journal of molecular sciences
PFOA,通过机制,oxidative stress
PFOA,发表于,"Environmental pollution (Barking, Essex : 1987)"
GenX,通过机制,oxidative stress
GenX,发表于,"Environmental pollution (Barking, Essex : 1987)"
GenX,发表于,Environmental health perspectives
PFOS,通过机制,oxidative stress
PFHxS,通过机制,oxidative stress
PFHxS,发表于,Archives of toxicology
GenX,研究涉及,immune
PFNA,研究涉及,toxicity
PFDA,研究涉及,immune
PFDA,研究涉及,liver
PFDA,发表于,Environment international
PFHxA,研究涉及,immune
PFHxA,研究涉及,liver
PFHxA,发表于,Environment international
PFBS,研究涉及,immune
PFBS,研究涉及,liver
PFBS,发表于,Environment international
PFOA,发表于,Biochemistry
PFOS,发表于,Biochemistry
PFDA,发表于,Biochemistry
PFOA,发表于,Cardiovascular toxicology
PFOS,发表于,Cardiovascular toxicology
PFOS,发表于,"Food additives & contaminants. Part B, Surveillance"
PFBA,研究涉及,liver
PFBA,发表于,"Food additives & contaminants. Part B, Surveillance"
PFOS,发表于,Environmental science & technology
GenX,发表于,Environmental research
PFOA,研究涉及,thyroid
PFOS,研究涉及,thyroid
PFDA,研究涉及,health effect
PFDA,研究涉及,thyroid
PFDA,发表于,Chemosphere
PFOA,发表于,Journal of hazardous materials
PFOA,发表于,The Journal of toxicological sciences
PFOS,发表于,The Journal of toxicological sciences
PFOA,发表于,Journal of exposure science & environmental epidemiology
PFOS,发表于,Journal of exposure science & environmental epidemiology
PFHxA,发表于,Journal of hazardous materials
PFHxS,研究涉及,cancer
PFHxS,研究涉及,thyroid
PFHxS,发表于,Heliyon
